"S. No.","Category","State/UT","Number of Cases - Registered","Number of Cases - Quashed/Stayed by Courts","Number of Cases - Chargesheeted","Number of Cases - Final Report Submitted","Number of Police Personel - Arrested","Number of Police Personel - Chargesheeted","Number of Police Personel - Cases Withdrawn/Disposed Off","Number of Police Personel - Trials were Completed","Number of Police Personel - Convicted","Number of Police Personel - Acquitted or Discharged","Population"
"1","State","Andhra Pradesh","97","2","45","5","0","61","0","11","1","10","84673556"
"2","State","Arunachal Pradesh","5","0","0","1","0","0","0","0","0","0","1382611"
"3","State","Assam","30","0","5","10","0","5","6","1","0","1","31169272"
"4","State","Bihar","17","0","11","1","0","63","55","0","0","0","103804637"
"5","State","Chhattisgarh","255","2","3","16","19","12","0","4","1","3","25540196"
"6","State","Goa","10","0","0","8","0","9","0","1","0","1","1457723"
"7","State","Gujarat","170","4","125","107","174","163","2","10","0","10","60383628"
"8","State","Haryana","64","0","46","31","0","26","7","2","1","1","25353081"
"9","State","Himachal Pradesh","13","0","5","43","0","9","2","0","0","0","6864602"
"10","State","Jammu and Kashmir","47","0","0","34","0","40","1","0","0","0","12548926"
"11","State","Jharkhand","2","0","0","0","0","0","0","0","0","0","32966238"
"12","State","Karnataka","92","1","38","20","0","17","5","0","0","0","61130704"
"13","State","Kerala","97","2","31","12","6","31","1","12","4","8","33387677"
"14","State","Madhya Pradesh","172","0","97","63","18","73","8","376","20","356","72597565"
"15","State","Maharashtra","401","7","197","28","319","197","3","2","2","0","112372972"
"16","State","Manipur","2","0","0","0","0","0","0","0","0","0","2721756"
"17","State","Meghalaya","0","0","0","0","0","0","0","0","0","0","2964007"
"18","State","Mizoram","3","0","0","2","0","2","0","0","0","0","1091014"
"19","State","Nagaland","3","0","0","0","0","0","0","0","0","0","1980602"
"20","State","Orissa","19","0","1","4","4","4","0","0","0","0","41947358"
"21","State","Punjab","286","6","17","14","0","18","13","16","5","11","27704236"
"22","State","Rajasthan","3340","2","2138","1012","3","26","0","8","1","7","68621012"
"23","State","Sikkim","0","0","0","0","0","0","0","0","0","0","607688"
"24","State","Tamil Nadu","71","1","7","25","26","19","1","3","0","3","72138958"
"25","State","Telangana","111","0","48","1","0","46","2","0","0","0","NaN"
"26","State","Tripura","11","1","1","5","0","1","0","0","0","0","3671032"
"27","State","Uttar Pradesh","90","3","32","27","0","46","15","136","5","131","199281477"
"28","State","Uttaranchal","5","0","2","3","3","0","23","0","0","0","10116752"
"29","State","West Bengal","46","27","9","11","0","35","6","1","0","1","91347736"
"30","Union Territory","Andaman and Nicobar","11","0","0","9","7","7","0","0","0","0","379944"
"31","Union Territory","Chandigarh","2","0","0","6","1","3","2","3","1","2","1054686"
"32","Union Territory","Dadra and Nagar Haveli","0","0","0","0","0","0","0","0","0","0","342853"
"33","Union Territory","Daman and Diu","0","0","0","0","0","0","0","0","0","0","242911"
"34","Union Territory","Delhi","7","0","4","1","0","5","0","0","0","0","16753235"
"35","Union Territory","Lakshadweep","0","0","0","0","0","0","0","0","0","0","64429"
"36","Union Territory","Puducherry","0","0","0","0","0","0","0","0","0","0","1244464"